Latitude,Longitude,Trail Name,Count,Time,week_of_month
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,8749,04-23-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,6961,04-24-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4795,04-25-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4618,04-26-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4959,04-27-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4931,04-28-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3409,04-29-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,7999,04-30-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,7549,05-01-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3834,05-02-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,6345,05-03-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5809,05-04-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5295,05-05-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4929,05-06-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,7549,05-07-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4284,05-08-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5062,05-09-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4654,05-10-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4597,05-11-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4541,05-12-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4720,05-13-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5196,05-14-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,6472,05-15-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4462,05-16-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4894,05-17-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4873,05-18-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,1893,05-19-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5811,05-20-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,7417,05-21-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,6730,05-22-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4180,05-23-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5008,05-24-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,7108,05-25-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3462,05-26-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3325,05-27-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,7109,05-28-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,6542,05-29-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5530,05-30-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3297,05-31-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4833,06-01-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3123,06-02-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4346,06-03-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5255,06-04-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,7357,06-05-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4559,06-06-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4389,06-07-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3860,06-08-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5394,06-09-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3748,06-10-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5841,06-11-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4805,06-12-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3299,06-13-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3635,06-14-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3167,06-15-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3541,06-16-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2985,06-17-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4731,06-18-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4555,06-19-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3276,06-20-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3345,06-21-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,6692,06-22-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3404,06-23-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3502,06-24-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,6976,06-25-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4887,06-26-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3606,06-27-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2676,06-28-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3577,06-29-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2937,06-30-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2860,07-01-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4873,07-02-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4169,07-03-2016,1
